@relation   union_files_*.arff_(total_attributes:_6_total_instances:_198)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING REAL
@attribute COMMUNICATING REAL
@attribute WORKING/DOING REAL
@attribute ENGAGEMENT REAL
@attribute EVALUATING/EXAMINING REAL
@attribute final_score {Fail,Pass}

@data
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Fail
0.00,0.00,0.00,0.0,0.00,Pass
0.00,0.00,0.00,0.0,0.00,Pass
