@relation   union_files_*.arff_(total_attributes:_6_total_instances:_294)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute EVALUATING/EXAMINING numeric
@attribute final_score {Fail,Pass}

@data
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
152.129964,27.257769,96.593874,91.996957,63.450693,Fail
0.689609,0,0.31683,9.946623,0,Fail
8.912075,0.630997,5.728926,14.208446,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
